Ensembl ID,Gene Symbol,Aire_pos_TEC (mean counts),Aire_ko_TEC (mean counts),Fold Change,FDR (BH)
ENSMUSG00000056782,Olfr667,7.193772263,0,0,0.004221841
ENSMUSG00000056883,Olfr533,3.832736016,0,0,0.070620888
ENSMUSG00000056912,1700017N19Rik,11.03726062,0,0,0.000877334
ENSMUSG00000056972,Magel2,205.3336257,0,0,9.3062E-44
ENSMUSG00000057455,Rit2,15.3416964,0,0,5.75891E-06
ENSMUSG00000057654,Olfr328,32.10924445,0,0,1.07102E-10
ENSMUSG00000057726,Serpinb9g,5.773296783,0,0,0.013289951
ENSMUSG00000057729,Prtn3,41.27045833,0,0,1.39246E-12
ENSMUSG00000057946,Vmn1r181,14.8592443,0,0,1.01815E-05
ENSMUSG00000057997,Olfr541,4.786887894,0,0,0.068905251
ENSMUSG00000058147,Xlr3c,3.838112185,0,0,0.07029685
