,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Tnfrsf13b,0.004698422737419605,0.0010472836438566446,0.0,0.0
Usp22,0.07840543240308762,0.08118867874145508,0.03748167306184769,0.0754423514008522
Aldh3a1,0.15538404881954193,0.0068534500896930695,0.24034804105758667,0.0
Aldh3a2,0.031968165189027786,0.0470648817718029,0.04536057636141777,0.04564501717686653
Slc47a2,0.0,0.0,0.0,0.0
Slc47a1,0.0006807312602177262,0.0015955206472426653,0.0,0.0041534933261573315
Rnf112,0.0,0.0,0.010947591625154018,0.0
Mfap4,0.03382084146142006,0.003928106278181076,1.476954698562622,0.026487231254577637
Mapk7,0.015672339126467705,0.028756313025951385,0.023672495037317276,0.0565539188683033
B9d1os,0.0,0.0008484324207529426,0.0,0.0
B9d1,0.06683307141065598,0.3180858790874481,0.0947943776845932,0.17538653314113617
Epn2,0.10055974125862122,0.08230480551719666,0.0448654480278492,0.028466131538152695
Gm12272,0.0,0.0,0.0,0.0
Grap,0.004546344745904207,0.001728367293253541,0.0045043169520795345,0.0
Slc5a10,0.0025099830236285925,0.004288105294108391,0.0,0.0
Fam83g,0.18756051361560822,0.08240660279989243,0.019877661019563675,0.015568375587463379
Prpsap2,0.041282594203948975,0.11122485250234604,0.03117402270436287,0.10694921016693115
Ulk2,0.014415198005735874,0.021236179396510124,0.08023901283740997,0.022387806326150894
A530017D24Rik,0.0018456577090546489,0.0051932442001998425,0.004052263218909502,0.027158133685588837
Gm26964,0.0007317141862586141,0.0,0.0,0.0
Akap10,0.014563962817192078,0.026756394654512405,0.028986835852265358,0.061612922698259354
Gm12273,0.0,0.0,0.0,0.0
Specc1,0.02137526124715805,0.045474108308553696,0.030737515538930893,0.5192164778709412
Adora2b,0.14060038328170776,0.007526945788413286,0.04384076967835426,0.007669296581298113
Zswim7,0.02758524939417839,0.05301683768630028,0.05516322702169418,0.06360067427158356
Ttc19,0.050859253853559494,0.08011011779308319,0.0876755341887474,0.05755931884050369
Ncor1,0.3290767967700958,0.5094274878501892,0.21730072796344757,0.4489697217941284
Pigl,0.012912366539239883,0.02802116982638836,0.015003384090960026,0.01474604383111
Gm12278,0.0,0.0,0.0,0.005803194362670183
Gm12949,0.0,0.0,0.0,0.0
Cenpv,0.032665666192770004,0.03949790447950363,0.05271380394697189,0.032753780484199524
Gm12279,0.0012382600689306855,0.001037475187331438,0.0,0.0
Ubb,3.810039758682251,3.6535301208496094,4.110080242156982,4.043848037719727
Gm12280,0.0004864188958890736,0.000582760781981051,0.0,0.0
Trpv2,0.0017715743742883205,0.0015075625851750374,0.002899355487897992,0.19125577807426453
Lrrc75a,0.003305127378553152,0.006338624283671379,0.021293438971042633,0.021768741309642792
Lrrc75aos2,0.0,0.0007181052351370454,0.0,0.0
Lrrc75aos1,0.0,0.0,0.0,0.0
Mmgt2,0.02178303897380829,0.0303700752556324,0.05598679557442665,0.1632944643497467
Zfp287,0.002829688834026456,0.0016091560246422887,0.009577233344316483,0.0
Gm27194,0.0002742439100984484,0.0,0.0,0.0
Zfp286,0.0019341721199452877,0.016933463513851166,0.01757841929793358,0.0
Gm10428,0.0,0.0,0.0,0.0
Zfp286os,0.0,0.0,0.0,0.0
Trim16,0.10911901295185089,0.015383774414658546,0.030434850603342056,0.0
Fbxw10,0.0,0.0,0.001762774889357388,0.0
Tvp23b,0.205571249127388,0.20485550165176392,0.2035330832004547,0.19612209498882294
Tvp23bos,0.0,0.0006033520912751555,0.0,0.0
Cdrt4os2,0.0,0.0,0.0,0.0
